Layers,Input_Dim,Hidden_Dim,Params,FLOPs,Latency_ms,RAM_MB
20,35,1712,55799226,529495433,8.910215936135364,263.0260625759795
23,822,1510,51453260,263240787,5.514407619768464,261.8706964606167
23,1966,1310,40372900,176625979,3.303572216091095,211.50084156462617
8,1440,1217,12142019,71051581,1.094372078305724,130.88793123317706
19,856,844,13568998,83102667,1.3690541761147879,116.00249088396575
5,1480,361,1060989,7196596,0.14415553765264236,84.63161038298576
13,541,375,1899010,7483281,0.3866067079238477,93.47402001765934
24,2024,484,6383970,33360917,1.0427022741627328,122.21166607869276
15,74,1064,15954690,106721726,1.754356402158308,167.55207435236437
18,506,1777,54630321,481539482,5.921762499204296,286.70909714170307
3,1422,599,1577177,15637273,0.1624924567053296,72.42736323947064
24,1516,1926,88303258,775777251,8.228895152545048,446.29121296410034
7,1194,190,446700,2443067,0.16547472060963264,102.84297113557214
10,1363,1941,36591742,176714190,2.965081442956292,226.63271831841078
12,1830,298,1528750,2035782,0.23002852177093547,109.19988391753625
15,603,874,11243146,86585954,1.0998252708654623,125.95795309724173
24,1729,1146,32226676,208332776,3.167090765917106,187.39497712821336
15,1217,603,5839462,29334629,0.5893033577320038,78.71288838873873
10,1006,80,139690,923293,0.0893660594202079,86.43594088241856
6,628,489,1510531,2365765,0.13002925683145106,116.84570694684705
5,1184,426,1236688,2035671,0.11592710305186547,77.41663121061309
20,763,1834,65361936,229291133,4.565765959571134,300.19900655112104
15,1620,1050,17162260,34826377,1.7726833797116617,132.14218804101455
12,1850,1416,24706378,165320485,2.3151606155163442,184.99387897943149
9,1927,106,296174,2744733,0.09209741454195418,67.75077599710016
4,769,1906,12390916,110631219,1.4042270862718547,122.34280744352154
20,1297,684,9796942,59389144,1.3139031156946042,98.15124958630301
9,354,1926,30394216,48407292,4.0333175588098165,193.54840990034958
1,303,1321,414804,2046829,0.050232284973482505,64.53924834737039
8,584,743,4311639,20714496,0.6366100627561514,62.76166328789337
