Layers,Input_Dim,Hidden_Dim,Params,FLOPs,Latency_ms,RAM_MB
15,665,1856,49506954,49506954,4.2441566952650565,435.31704419987807
16,1705,749,9711544,9711544,0.7271274516048088,97.09821234802503
4,1871,402,1242592,1242592,0.10374754114559805,13.56822459567297
6,1203,1781,18030854,18030854,1.4842204597387048,158.4115376226024
19,161,1863,62827822,62827822,4.878040881136648,589.0726336791383
3,108,809,1406861,1406861,0.1345444502417316,12.462525020754256
9,874,1566,21017296,21017296,1.8069330469130631,180.8261156694938
17,697,740,9297370,9297370,0.7759789763406452,93.95932279657916
5,442,1360,8019930,8019930,0.6122230199322101,73.74501874076208
10,1377,219,737602,737602,0.13832791537459996,7.722162905400034
4,1451,674,2350248,2350248,0.19123582775318615,22.77691242234971
19,867,570,6358930,6358930,0.49127673617134027,58.24968026762935
11,1089,1122,13834270,13834270,1.0649734758730844,123.16619131504754
12,616,1990,44830730,44830730,5.020469823735154,426.22879681283683
11,1999,706,6410490,6410490,0.5910426261438089,62.87231793483769
19,1141,1687,53201242,53201242,4.653860002013808,452.9791987956658
11,1251,1231,16719452,16719452,3.0349202936849813,136.7281337578412
15,1222,651,6745021,6745021,0.6494584228145573,60.97037619065721
19,143,1971,70266160,70266160,5.309756268849047,597.9933125028508
4,154,323,367261,367261,0.07934695639347727,3.4432125064822308
20,625,455,4231510,4231510,0.41155073546803045,40.95635221646407
7,1420,1486,15384568,15384568,1.240336757403611,129.56855664127647
6,671,494,1559568,1559568,0.10837986478744532,15.230633793857677
19,1920,481,5101977,5101977,0.4948330963530613,42.21625952365602
18,774,939,15742345,15742345,1.3315885151615492,137.2112702969573
7,1832,856,5979170,5979170,0.4475647891040068,54.431930633988365
8,1094,1468,16717594,16717594,1.3561653128255338,160.10405575954226
13,419,421,2312984,2312984,0.27221425447694925,19.396553431170183
18,1851,1421,36997166,36997166,2.912091761544296,304.72366168750955
8,583,1767,22918000,22918000,1.9434283769758278,199.85430404612904
6,1511,76,144942,144942,0.06079892947757327,1.494969766460916
18,265,529,4912304,4912304,0.5709593036349923,49.206517005095954
4,1433,143,268278,268278,0.06699235957313701,2.5998213427578687
17,457,1063,18594006,18594006,3.5541355397782044,155.21128219160968
18,35,493,4162902,4162902,0.5212568209612408,34.75525728285838
13,1817,623,5803878,5803878,0.9625080361909231,55.731987553136655
2,1063,685,1205610,1205610,0.20607287845035835,11.17603723477911
6,632,2028,21878074,21878074,5.21658615112508,211.87932302822037
24,1998,1551,58480465,58480465,5.811544991372455,534.0401177873888
5,122,1088,4884042,4884042,0.30855781382135594,41.989729884433316
20,280,1215,28424935,28424935,2.9078582799656947,269.2592966752103
15,1129,1491,32843758,32843758,2.762349949397567,323.12354901483775
18,363,715,8970400,8970400,1.1797654415500058,98.23608865141468
6,1773,1799,19400426,19400426,1.7699532155415212,164.69771611494753
19,1133,1214,27939006,27939006,2.884518222012466,304.4366043267685
12,1149,116,283862,283862,0.10570773412976582,2.304268130122727
18,1435,1243,28084352,28084352,2.3906285549053226,231.2998478011865
2,973,1683,4490254,4490254,0.5539413323885212,36.85933003964328
6,1451,572,2475054,2475054,0.20867874072360496,20.407629340946013
24,281,1076,26967798,26967798,5.338661738405249,228.72070907984516
2,1203,1204,2912486,2912486,0.27349052013551106,28.754690268130144
1,1928,1985,3848925,3848925,0.29828421475141137,36.59223106942633
6,1284,337,1005955,1005955,0.2821959921452807,9.44928681518592
13,1427,357,2047048,2047048,0.4877515512967995,18.32001700714353
9,936,906,7431928,7431928,0.7383009179668093,81.09864834061796
20,704,573,6658843,6658843,0.791742747781053,70.63155833910979
18,266,83,141525,141525,0.12252317616228342,1.197149483165016
12,542,1436,23492970,23492970,2.914916718240106,234.5707767649221
8,326,594,2674198,2674198,0.28200835288569426,27.478189997442474
13,517,1603,31700938,31700938,3.700201996062858,346.12784539226317
19,1071,990,18730810,18730810,2.3069858764133744,166.89121460591699
18,371,205,796230,796230,0.19130040090588593,7.6534376292985
2,1815,63,119080,119080,0.03893566442524623,1.0152382717125565
23,233,1321,38742298,38742298,4.57587943261797,325.9268696205251
9,1237,1335,15934570,15934570,1.409527063091717,168.9204217362516
10,263,244,604886,604886,0.1660874467981402,5.842117981270117
24,310,660,10245850,10245850,1.4299411809517415,104.19691836357576
24,414,153,606961,606961,0.2467275435319947,6.135480548962898
3,1620,1859,9947519,9947519,0.6703330963690226,100.55202925239591
21,1435,1723,61900508,61900508,5.823054021373379,505.58544499046087
17,871,286,1565574,1565574,0.24656566627636436,16.623897748473414
8,120,1563,17316487,17316487,1.4684503704802114,175.72207021655024
3,449,1459,4931430,4931430,0.3030603880059763,42.558680340692995
19,1714,1693,54543391,54543391,4.624307256903373,503.33819351916566
17,836,145,461545,461545,0.1476489982999988,4.199350674275595
21,1108,1823,68542987,68542987,6.6006971457933545,700.1700152445284
24,1571,819,16742008,16742008,1.617120290189336,183.07292909555326
12,508,520,3250010,3250010,0.37318323122720465,27.121510270737023
14,967,384,2297482,2297482,0.21899195361669924,24.910924512256873
6,861,131,200702,200702,0.08681315948555254,1.9313400809623849
2,946,647,1038445,1038445,0.07106936172524592,9.494483819648169
12,557,481,2823480,2823480,0.238580995381584,25.007629259669745
4,660,1807,11013675,11013675,0.7067217946015503,95.51627765739778
17,1438,198,917344,917344,0.17044387860563068,9.220181409164766
18,1629,1000,18657010,18657010,1.4760360292145682,189.62618443433135
5,208,1365,7757305,7757305,0.5603173137611233,63.98677088376127
15,512,1695,41132575,41132575,3.5643873652329416,446.8155508405258
11,1227,866,8580338,8580338,0.6859633444433273,75.10435048598356
23,330,524,6230894,6230894,0.7236324814699515,50.51849039611043
16,1224,986,15815450,15815450,1.5937511165708802,148.85283923175214
15,1490,234,1121104,1121104,0.1737815950805069,11.330974280227608
8,1027,1710,22255660,22255660,1.9343372955248508,218.57028919994613
22,1938,416,4453706,4453706,0.39786654518075587,42.84648140131768
14,1003,142,407976,407976,0.14105437756142347,4.123712972851335
21,140,885,15815845,15815845,1.2223224289821284,153.7032299695903
8,1768,711,4808503,4808503,0.5000442302651128,42.47684967185892
7,1737,1973,26817026,26817026,2.9395789435115818,269.952975585817
21,1886,1771,66123837,66123837,7.191839887379496,552.1566311914755
18,1285,478,4511852,4511852,0.545259778935381,48.81998496358242
5,1414,1484,10929670,10929670,0.7364177402036796,116.43194446063745
23,345,1156,29836370,29836370,2.9688142294787574,307.2695074118622
4,766,1522,8136622,8136622,0.6524376034491274,86.59952199615606
21,723,1635,54697300,54697300,4.905569542997481,564.6345238691803
20,1244,737,11259159,11259159,1.1709782374082103,98.71935347542892
24,1174,306,2523286,2523286,0.3478894239138869,20.860817831777055
7,1686,971,7310669,7310669,0.4793494189336035,69.17822972993402
10,765,700,4959510,4959510,0.3522880442872899,42.9430882668129
10,1388,280,1099850,1099850,0.12209803850252705,10.879977845083834
18,931,1093,21357230,21357230,1.9868615750060892,192.9183493662154
23,1810,306,2623960,2623960,0.28556851461041266,26.13335069331861
11,477,1206,15144958,15144958,1.3621276465841772,164.90213576108107
2,1780,1731,6098323,6098323,0.4192267314750731,56.87869761889622
16,1973,1929,59671696,59671696,5.507517754324538,605.9707013763788
14,624,1546,32073326,32073326,2.9560030563659674,307.8836361332193
9,1645,523,3058514,3058514,0.3304935349983761,28.703311845563633
17,706,728,9013378,9013378,0.8843946105803132,75.56925072620356
12,1493,1473,26098624,26098624,1.7860065785363353,214.44002635825768
7,346,1632,16572970,16572970,1.2036835290695178,149.33868004223982
16,1611,197,904634,904634,0.20060073569476056,9.44822817991105
21,786,1424,41718938,41718938,3.5267535169325033,444.6381947663415
9,158,1330,14386620,14386620,1.2675489870542733,117.84841641771102
20,883,1881,68942422,68942422,6.83158644462282,588.3161008243982
3,1959,981,3859264,3859264,0.2298905165650406,31.719034477265367
18,731,876,13710286,13710286,1.2581457887648864,146.09358644367597
17,1592,1897,60648997,60648997,5.0807678562841065,517.2979729840229
6,1534,1720,17458010,17458010,1.5330256458227511,149.4920094220993
1,1658,1649,2752191,2752191,0.166473801897632,24.77857368679825
21,1633,1561,51331934,51331934,5.109723277593905,498.1019833628431
20,1757,1178,28471092,28471092,2.985265846150139,252.16803991055312
8,481,1349,13411768,13411768,1.0383393586798617,132.2051365541863
20,691,1701,56201050,56201050,7.183503907393949,583.9838259708835
16,1543,86,245884,245884,0.09900789710338796,2.264418385126118
17,34,608,5951722,5951722,0.5049708838077335,49.32565950061036
2,1793,133,257764,257764,0.03853875557488867,2.7382962207233446
7,376,1732,18679630,18679630,1.6576646307286398,203.92606776487895
1,85,800,76810,76810,0.03267742510273156,0.6490398555589804
15,575,1529,33647184,33647184,3.4206354881543772,363.5708462242078
23,334,1856,76465354,76465354,5.569691736733005,775.2586288764194
13,295,1520,28208170,28208170,2.080582830844407,298.4375415325578
12,1836,875,10047635,10047635,0.7784790056691365,94.9792054346241
21,594,439,4128805,4128805,0.4576831150210813,42.70513067132422
1,1133,1128,1290442,1290442,0.057797941784361304,13.994090192440758
7,1000,1926,24215608,24215608,2.155584859696135,212.86018914449082
10,872,1497,21504415,21504415,1.735583465209102,204.8160640489932
10,1534,1635,26599825,26599825,2.175699768584769,266.0084862554564
11,167,1698,29151274,29151274,2.2340325412868918,295.94751508419483
17,1049,276,1515802,1515802,0.1629602586716895,15.646532881428184
21,1867,368,3406954,3406954,0.283256411704203,37.191799586053875
20,1995,1099,25173704,25173704,2.138704197824392,238.18933446730966
17,533,572,5555274,5555274,0.521151898859174,49.799485760762195
8,1922,324,1363402,1363402,0.12034995416678237,11.47684650109511
9,1803,2001,35677840,35677840,3.1236564862216745,301.98991039008604
3,1863,1294,5776426,5776426,0.3827122632361253,58.49511868319155
11,813,1951,39691154,39691154,3.8774797992073875,337.82404550955863
9,665,2037,34588270,34588270,4.117389069597979,286.8356901652581
24,71,904,18890898,18890898,1.92328382780232,155.31937749915684
14,215,1553,31724694,31724694,2.7388537692556554,302.78857368745
10,34,1298,15233338,15233338,2.1688570665413667,133.22930857202937
6,708,500,1612010,1612010,0.19646072322187236,16.1629574619936
2,79,884,861910,861910,0.08834769952408239,8.862600916313365
17,538,760,9671010,9671010,0.7866570024026321,84.22773693501635
5,1419,609,2356840,2356840,0.21264395421139662,22.912119801178704
19,426,389,2900783,2900783,0.3052605000017323,25.25284674968464
4,1414,1446,8337646,8337646,0.5873380756072751,73.90131810290698
3,1729,176,368554,368554,0.04536354328097727,3.0628043521464487
5,743,565,1705180,1705180,0.15219138407944835,17.90141973336396
20,1881,1106,25355060,25355060,2.4882296118839276,236.39911213520654
23,1181,1547,54528666,54528666,5.991620362543812,559.0477839478996
9,575,1063,9671184,9671184,0.8065877211350095,87.89687829456551
23,666,1801,72618131,72618131,6.474441537588743,642.1594247915082
21,200,1262,32144412,32144412,2.864244283645063,337.8161060547618
2,904,1374,3146470,3146470,0.18503885235949072,26.188730116572287
14,1268,2041,56790835,56790835,9.685961588124908,574.1327682222204
6,753,1757,16786388,16786388,1.2915498227428244,164.3960745671494
9,2042,1779,28985257,28985257,2.333791747005753,275.0215187655592
22,927,1021,22870410,22870410,4.806115942882775,205.8345644478532
7,1604,1246,11334872,11334872,1.366860134285445,118.15748672458521
6,1487,1869,20274922,20274922,1.819007830113832,208.47672777878424
24,2010,1623,63902389,63902389,5.772020825105023,597.9889500912889
3,735,476,809210,809210,0.06909123563883837,7.232152182249391
9,1329,2035,35872990,35872990,3.559533683615496,291.77695422531207
18,479,1496,38804754,38804754,3.7821363294025794,402.2838532582703
19,1025,1595,47473590,47473590,3.2518947482974316,505.5973415521293
9,569,477,2100718,2100718,0.1376860700549134,22.987276064930175
10,440,1958,35404566,35404566,2.8680861163304523,329.25754009791797
5,968,532,1655062,1655062,0.10395388263771745,14.300367590130747
14,1618,887,11684461,11684461,0.9513500661337798,106.51813193285548
17,1493,1328,30235914,30235914,3.0896416692440716,303.69687783870637
19,417,1363,34047750,34047750,3.3502935401055214,336.5742861856402
10,1120,1730,28908310,28908310,2.34801856689017,275.93514565756124
24,1465,1052,27031150,27031150,2.4216039559702995,220.80852653780505
14,1182,294,1478242,1478242,0.21511269186653975,12.047544098841446
9,738,428,1789478,1789478,0.2001067028424182,15.73025561410662
1,749,145,110210,110210,0.026381671630993156,1.002926185835072
16,853,856,11743474,11743474,0.9715892323313962,116.70936273721041
8,1504,940,7615890,7615890,0.6407275743862046,76.69163014302995
5,1047,1834,15401942,15401942,1.0534420567322005,153.34867392782053
11,161,808,6675706,6675706,0.4885385756057396,58.539231183128344
24,1135,763,14281844,14281844,3.1644278800414862,127.93353884490105
2,1272,1670,4933190,4933190,0.37914505716503216,52.334104041864244
5,772,1452,9575950,9575950,0.6810473044988442,98.71743687605723
13,204,534,3543100,3543100,0.32587820110969484,33.964429286481696
12,618,902,9526934,9526934,0.8676576608541953,83.42045888608646
19,1056,1564,45726678,45726678,3.8078734548846342,404.06843789204277
3,1986,191,454781,454781,0.06525083915420274,4.742701951868761
21,978,680,9934130,9934130,0.8884689153790704,88.49025867753264
15,286,1102,17344388,17344388,1.4632797379636089,153.35904419511715
22,1479,706,11533932,11533932,1.0867097845600373,118.37981995482397
5,461,205,265690,265690,0.055235341919529925,2.4234933199623256
14,464,852,9852538,9852538,0.8032299172668836,107.82208300743447
10,846,72,109018,109018,0.07418026748870821,1.0259566854126134
13,1676,1526,30536796,30536796,3.052806685907371,252.7461326877832
18,593,130,368040,368040,0.15815671707085235,3.4656853586138126
2,1079,136,166882,166882,0.03223289569312935,1.5319088219232209
15,107,641,5836956,5836956,0.5618217993253032,49.820229954432975
22,527,602,7947012,7947012,0.7611208288979903,69.9678534091507
3,479,1463,5000544,5000544,0.3750927936065253,52.51574036115072
13,901,267,1102186,1102186,0.14894974718753304,11.00238287198155
12,1785,1314,21366964,21366964,1.5242647386267558,183.69019318780124
9,375,1130,10660430,10660430,0.7901545000584825,91.85849721687515
20,721,1806,63327400,63327400,5.5867251565061355,655.5527250976263
20,1684,1659,55136875,55136875,8.83463455242378,476.4821244656604
16,1307,234,1133272,1133272,0.20623986866930918,10.3083242622143
23,1164,1096,27738674,27738674,2.1683586122066414,273.2754331272075
12,434,117,203941,203941,0.08127983426690547,1.6999441134493383
2,192,154,55142,55142,0.02820167928797817,0.48636724467544123
7,1468,434,1774636,1774636,0.12271054225033608,15.885277431568502
13,473,878,9686106,9686106,0.7355550978862667,95.19948196546429
2,1266,234,353818,353818,0.034005237743156634,3.123415084309261
7,735,1424,13237514,13237514,1.0600545646888218,126.79367301134779
14,98,1117,16356241,16356241,1.1248599215230197,145.52804391322522
12,141,616,4274434,4274434,0.4042768859567138,36.82274295184075
6,2041,1738,18678296,18678296,1.8803783064900559,157.19322483199932
10,1842,409,2267097,2267097,0.2324356758601088,20.358051160407154
6,275,462,1201672,1201672,0.0882957516207653,10.10686516058937
7,1493,221,626766,626766,0.08321545628722514,5.139442206405157
5,429,702,2282914,2282914,0.15164991971380276,24.970724310321792
21,1827,449,4866272,4866272,0.49721236276272224,40.6768833201217
9,1205,1913,31618074,31618074,2.678231023014289,307.02720180784064
8,1189,761,4972384,4972384,0.869071624262782,43.47385960326242
21,349,617,7848250,7848250,0.6391898337402546,71.45705156144749
14,236,982,12791542,12791542,1.1254720045298914,138.91299344517282
8,1915,1014,9157444,9157444,1.0137582701743701,97.42526830562082
15,1107,257,1215620,1215620,0.21410569241705982,12.766422198755128
12,846,516,3376714,3376714,0.2863637148907559,27.768257736944054
7,281,1584,15526378,15526378,1.1489110696007958,134.40391388925366
20,513,1091,23207762,23207762,1.6670399106174218,228.95090395779545
16,1410,837,11710477,11710477,1.0521231477194193,117.07167239840827
6,213,200,245810,245810,0.05874803164493318,2.129194554471761
11,1448,518,3444192,3444192,0.2949988841613058,32.125439488996356
4,954,691,2101341,2101341,0.17018261295565604,17.194847222085567
3,1279,2014,10714490,10714490,0.9479327976939732,94.8621516088033
3,694,381,559699,559699,0.05504979132607841,5.780482328909264
24,586,1218,34876222,34876222,3.4121991744734954,287.8823028134224
15,1154,126,370828,370828,0.12942753072060245,3.2319723622157004
4,275,1880,11146530,11146530,0.9705698755380261,110.30367402654312
20,438,1126,24616622,24616622,2.2442455103792933,228.47467357442028
17,984,638,7157732,7157732,0.654080974030696,64.06023852269539
11,165,958,9355838,9355838,0.6804467708592179,101.77784792741615
1,57,1864,126762,126762,0.03777876448133112,1.3804609336643778
7,1778,2041,28657691,28657691,4.408236439838927,296.62284842736733
